node_id,subject,source_id,link,question_images,solution_images,has_solution_text,match_reason
CN_UNK_035,计算机网络,HCN_0035,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_035,1,2,yes,定位标记标题匹配：2.3.3（09）
CN_UNK_036,计算机网络,HCN_0036,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_036,1,1,yes,定位标记标题匹配：2.1.4（01）
CN_UNK_037,计算机网络,HCN_0037,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_037,1,1,yes,定位标记标题匹配：2.1.4(07)
CN_UNK_038,计算机网络,HCN_0038,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_038,1,1,yes,定位标记标题匹配：2.1.4（09）
CN_UNK_039,计算机网络,HCN_0039,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_039,1,1,yes,定位标记标题匹配：2.1.4（10）
CN_UNK_041,计算机网络,HCN_0041,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_041,1,1,yes,定位标记标题匹配：3.1.6(1)
CN_UNK_042,计算机网络,HCN_0042,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_042,1,1,yes,定位标记标题匹配：3.1.6（03）
CN_UNK_043,计算机网络,HCN_0043,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_043,1,2,yes,定位标记标题匹配：3.1.6（04）
CN_UNK_044,计算机网络,HCN_0044,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_044,1,1,yes,定位标记标题匹配：3.1.6（06）
CN_UNK_045,计算机网络,HCN_0045,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_045,1,1,yes,定位标记标题匹配：3.8.3（17）
CN_UNK_046,计算机网络,HCN_0046,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_046,1,1,yes,完整核心考点正文匹配：CSMA/CD 最短帧长与传播距离
CN_UNK_047,计算机网络,HCN_0047,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_047,1,1,yes,OO3 定位标记匹配：3.5.4（40）；路径：408 > 计算机网络 > 计算机网络 > 第三章数据链路层 > 3.5介质访问控制（MA C协议） > 3.5.2随机访问介质访问控制 > CSMA/CD 协议 > 3.5.4（40）
CN_UNK_048,计算机网络,HCN_0048,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_048,1,1,yes,完整核心考点正文匹配：MAC 协议与确认机制；2026-07-03 已从本地 2011 解析 PDF 恢复独立解析图（PDF 内部题号与当前题图题号不一致，按主题 QA 确认）
CN_UNK_049,计算机网络,HCN_0049,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_049,1,1,yes,定位标记标题匹配：3.6.5（24）
CN_UNK_050,计算机网络,HCN_0050,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_050,1,1,yes,定位标记标题匹配：3.4.3（02）
CN_UNK_051,计算机网络,HCN_0051,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_051,1,1,yes,定位标记标题匹配：3.4.3（03）
CN_UNK_052,计算机网络,HCN_0052,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_052,1,1,yes,定位标记标题匹配：3.4.3（08）
CN_UNK_053,计算机网络,HCN_0053,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_053,1,1,yes,定位标记标题匹配：3.4.3（09）
CN_UNK_054,计算机网络,HCN_0054,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_054,1,2,yes,定位标记标题匹配：3.4.3（29）
CN_UNK_055,计算机网络,HCN_0055,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_055,1,1,yes,定位标记标题匹配：3.3.3(05)
CN_UNK_056,计算机网络,HCN_0056,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_056,1,1,yes,定位标记标题匹配：3.3.3（06）
CN_UNK_057,计算机网络,HCN_0057,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_057,1,1,yes,定位标记标题匹配：3.4.3（13）
CN_UNK_058,计算机网络,HCN_0058,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_058,1,1,yes,定位标记标题匹配：3.4.3（23）
CN_UNK_059,计算机网络,HCN_0059,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_059,1,1,yes,定位标记标题匹配：3.4.3（31）
CN_UNK_060,计算机网络,HCN_0060,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_060,1,1,yes,定位标记标题匹配：4.1（19）
CN_UNK_061,计算机网络,HCN_0061,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_061,1,1,yes,定位标记标题匹配：4.1（20）
CN_UNK_062,计算机网络,HCN_0062,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_062,1,1,yes,定位标记标题匹配：4.1（21）
CN_UNK_063,计算机网络,HCN_0063,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_063,1,2,yes,定位标记标题匹配：4.2.64
CN_UNK_064,计算机网络,HCN_0064,obsidian://open?vault=kaoyan-408-details&file=cards%2FCN_UNK_064,1,1,yes,完整核心考点正文匹配：网络地址判断题解析（掩码 255.255.192.0 = /18）
CO_2009_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2009_001,1,2,yes,正式ID标题匹配：CO_2009_001
CO_2009_002,计算机组成原理,EXAM408-2009-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2009_002,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q066
CO_2009_003,计算机组成原理,CO03-Q116,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2009_003,1,1,no,本次 Codex 入库附件转入详情库；语料库候选 CO03-Q116 同题
CO_2010_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2010_001,1,1,yes,正式ID标题匹配：CO_2010_001
CO_2010_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2010_002,1,1,no,CO03 存储系统语料明确匹配正式节点 CO_2010_002；2026-07-02 从 corpus/CO03-存储系统/CO03-Q042 恢复题图与解析图。
CO_2010_003,计算机组成原理,EXAM408-2010-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2010_003,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q067
CO_2010_004,计算机组成原理,CO03-Q143,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2010_004,1,1,no,本次 Codex 入库附件转入详情库；语料库候选 CO03-Q143 同题
CO_2011_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2011_001,1,1,yes,正式ID标题匹配：CO_2011_001
CO_2011_002,计算机组成原理,EXAM408-2011-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2011_002,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q068
CO_2012_001,计算机组成原理,HCO_0063,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_001,1,1,yes,正式ID标题匹配：CO_2012_001
CO_2012_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_002,1,1,yes,正式ID标题匹配：CO_2012_002
CO_2012_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_003,1,1,no,正式ID标题匹配：CO_2012_003
CO_2012_004,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_004,1,1,yes,正式ID标题匹配：CO_2012_004
CO_2012_005,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_005,1,1,no,正式ID标题匹配：CO_2012_005
CO_2012_006,计算机组成原理,CO03-Q117,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2012_006,1,1,no,本次 Codex 入库附件转入详情库；语料库候选 CO03-Q117 同题
CO_2013_001,操作系统,HCO_0069,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_001,1,1,yes,正式ID标题匹配：CO_2013_001
CO_2013_002,计算机组成原理,HCO_0080,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_002,1,1,no,2026-07-02 直接查看确认解析截图题面与 CO_UNK_013 文字卡题图一致；已复制文字卡替代题图并保留同主题解析截图；原题扫描图仍待补，来源链冲突不与 CO_UNK_013 自动合并。
CO_2013_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_003,1,1,yes,正式ID标题匹配：CO_2013_003
CO_2013_004,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_004,1,1,no,正式ID标题匹配：CO_2013_004
CO_2013_005,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_005,1,1,no,本次 Codex 入库附件转入详情库；语料库候选 CO03-Q083 同题
CO_2013_006,计算机组成原理,CO03-Q084,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2013_006,1,1,no,本次 Codex 入库附件转入详情库；语料库候选 CO03-Q084 同题
CO_2014_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2014_001,1,1,no,正式ID标题匹配：CO_2014_001
CO_2015_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_001,1,1,yes,正式ID标题匹配：CO_2015_001；题图可读；2026-07-03 已从本地解析 PDF 恢复独立解析图
CO_2015_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_002,1,1,no,正式ID标题匹配：CO_2015_002
CO_2015_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_003,1,1,yes,正式ID标题匹配：CO_2015_003
CO_2015_004,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_004,1,1,no,正式ID标题匹配：CO_2015_004
CO_2015_005,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_005,1,1,no,正式ID标题匹配：CO_2015_005
CO_2015_006,计算机组成原理,EXAM408-2015-Q20,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_006,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q085 / 3.4.3（11）
CO_2015_007,计算机组成原理,EXAM408-2015-Q16,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_007,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q145 / 3.6.6（17）
CO_2015_008,计算机组成原理,EXAM408-2015-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2015_008,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q146 / 3.6.6（18）
CO_2016_001,计算机组成原理,HCO_0062,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2016_001,1,1,yes,OO3 定位标记匹配：7.2.5 （14）；路径：408 > 计算机组成原理 > 2.计算机组成原理 > 第七章 输入输出设备 > I/O接口 > I/O 接口的作用 > 7.2.5 （14）
CO_2016_002,计算机组成原理,HCO_0083,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2016_002,1,1,yes,题图保留；原错绑解析图已隔离；2026-07-03 已从本地解析 PDF 恢复独立解析图
CO_2016_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2016_003,1,1,yes,正式ID标题匹配：CO_2016_003；题图可读；2026-07-03 已从本地解析 PDF 恢复独立解析图
CO_2016_005,计算机组成原理,EXAM408-2016-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2016_005,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q118 / 3.5.6（31）
CO_2017_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2017_001,1,2,no,正式ID标题匹配：CO_2017_001
CO_2018_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2018_001,1,2,yes,正式ID标题匹配：CO_2018_001
CO_2018_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2018_002,1,1,yes,正式ID标题匹配：CO_2018_002；2026-07-03 已从本地解析 PDF 恢复独立解析图
CO_2018_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2018_003,1,1,yes,正式ID标题匹配：CO_2018_003
CO_2018_004,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2018_004,1,1,yes,正式ID标题匹配：CO_2018_004；2026-07-03 已从本地解析 PDF 恢复独立解析图
CO_2018_005,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2018_005,1,1,no,正式ID标题匹配：CO_2018_005
CO_2019_001,计算机组成原理,HCO_0077,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2019_001,1,1,yes,正式ID标题匹配：CO_2019_001；2026-07-03 已生成解析文字渲染兜底图；原始解析截图可选替换
CO_2019_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2019_002,1,1,yes,正式ID标题匹配：CO_2019_002
CO_2019_003,计算机组成原理,EXAM408-2019-Q20,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2019_003,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q086
CO_2020_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2020_001,1,1,no,2026-07-03 批量 K 从 CO_2021_001 错绑详情图转正；机器字长主题匹配
CO_2021_001,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2021_001,1,1,no,2026-07-03 从本地 2021 真题 PDF 第 2 页和解析 PDF 第 3 页恢复题图/解析图；旧 MarginNote/Word 精确节点为 CO_2020_001 错绑证据
CO_2021_002,计算机组成原理,EXAM408-2021-Q16,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2021_002,1,1,no,formal-node-crosswalk exact / machine_exact；旧章节语料别名 CO03-Q120
CO_2022_001,计算机组成原理,HCO_0071,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2022_001,1,1,yes,当前详情卡/资产目录重建索引
CO_2022_002,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2022_002,1,1,yes,当前详情卡/资产目录重建索引
CO_2022_003,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2022_003,1,1,no,当前详情卡/资产目录重建索引
CO_2022_004,计算机组成原理,EXAM408-2022-Q16,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2022_004,1,1,no,BATCH-003 visual exact / canonical EXAM408 crosswalk；旧章节语料别名 CO03-Q121 / 3.5.6（34）
CO_2022_005,计算机组成原理,EXAM408-2022-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2022_005,1,1,no,BATCH-003 visual exact / canonical EXAM408 crosswalk；旧章节语料别名 CO03-Q149 / 3.6.6（21）
CO_2023_001,计算机组成原理,HCO_0070,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_001,1,2,yes,当前详情卡/资产目录重建索引
CO_2023_002,计算机组成原理,HCO_0072,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_002,1,1,yes,当前详情卡/资产目录重建索引
CO_2023_003,计算机组成原理,HCO_0079,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_003,1,1,yes,当前详情卡/资产目录重建索引
CO_2023_004,计算机组成原理,HCO_0082,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_004,1,1,yes,当前详情卡/资产目录重建索引
CO_2023_005,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_005,1,1,yes,当前详情卡/资产目录重建索引
CO_2023_006,计算机组成原理,EXAM408-2023-Q15,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2023_006,1,1,no,BATCH-003 visual exact / canonical EXAM408 crosswalk；旧章节语料别名 CO03-Q071 / 3.3.5（17）
CO_2024_001,计算机组成原理,HCO_0065,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2024_001,1,1,yes,当前详情卡/资产目录重建索引
CO_2024_002,计算机组成原理,HCO_0073,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2024_002,1,1,yes,当前详情卡/资产目录重建索引
CO_2024_003,计算机组成原理,HCO_0078,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2024_003,1,1,yes,当前详情卡/资产目录重建索引
CO_2024_004,计算机组成原理,VISUAL_PENDING,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2024_004,1,1,yes,当前详情卡/资产目录重建索引
CO_2024_005,计算机组成原理,EXAM408-2024-Q16,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_2024_005,1,1,no,BATCH-003 visual exact / canonical EXAM408 crosswalk；旧章节语料别名 CO03-Q150 / 3.6.6（22）
CO_UNK_001,计算机组成原理,HCO_0001,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_001,1,1,no,2026-07-04 已从本地 CO03 存储系统语料 CO03-Q089 / 3.5.6 (02) 恢复同题原扫描题图和独立解析图；旧文字卡题图与解析图已隔离备份
CO_UNK_002,计算机组成原理,HCO_0002,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_002,1,1,yes,MarginNote Word 导出文字卡替代图：408(2026-06-30-20-06-25).docx；note 8DE4E50C-DB04-4DEF-A19E-48DC9789E977；原题扫描图仍待替换
CO_UNK_003,计算机组成原理,HCO_0003,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_003,1,1,no,2026-07-04 已从本地 CO03 存储系统语料 CO03-Q032 / 3.2.5 (18) 恢复同题原扫描题图和独立解析图；旧文字卡题图与解析图已隔离备份
CO_UNK_004,计算机组成原理,HCO_0004,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_004,1,1,no,当前详情卡/资产目录重建索引
CO_UNK_005,计算机组成原理,HCO_0005,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_005,1,1,no,当前详情卡/资产目录重建索引
CO_UNK_006,计算机组成原理,HCO_0006,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_006,1,1,yes,当前详情卡/资产目录重建索引
CO_UNK_007,计算机组成原理,HCO_0007,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_007,1,1,yes,当前详情卡/资产目录重建索引
CO_UNK_008,计算机组成原理,HCO_0008,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_008,1,1,yes,当前详情卡/资产目录重建索引
CO_UNK_009,计算机组成原理,HCO_0009,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_009,1,1,yes,当前详情卡/资产目录重建索引；2026-07-03 已从本地袁春风习题解答 PDF 第 101 页恢复独立解析图
CO_UNK_010,计算机组成原理,HCO_0010,obsidian://open?vault=kaoyan-408-details&file=cards%2FCO_UNK_010,1,1,yes,当前详情卡/资产目录重建索引；2026-07-03 已从本地王道选择题本第 41 页恢复原题扫描题图，并从 2026 计组 PDF 第 189 页恢复独立解析图
